《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,7,0,5,12,0,0,0,0
A01,伤寒和副伤寒,36,0,10,46,0,0,0,0
A03,志贺菌病,3,0,15,18,0,0,0,0
A06,阿米巴病,11,0,16,27,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,4922,0,3857,8779,17,14,0,31
A09,其他传染性或未特指病因的胃肠炎和结肠炎,15528,14,5902,21444,15,16,0,31
A15-A16,呼吸道结核病,3186,3,134,3323,124,30,0,154
A17-A19,其他结核病,454,0,30,484,10,14,0,24
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,13,0,0,13,0,0,0,0
A30,麻风,1,0,0,1,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,0,0,0,0,0,0,0,0
A36,白喉,4,0,0,4,0,0,0,0
A37,百日咳,54,0,22,76,0,0,0,0
A39,脑膜炎球菌感染,9,0,0,9,0,1,0,1
A40-A41,败血病,11854,0,422,12276,503,482,0,985
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,3538,6,286,3830,28,24,0,52
A50,先天性梅毒,8,0,2,10,0,0,0,0
A51,早期梅毒,6,0,1,7,0,0,0,0
A52-A53,其他梅毒,330,0,6,336,1,0,0,1
A54,淋球菌感染,7,0,4,11,0,0,0,0
A55-A56,性传播的衣原体疾病,12,0,2,14,0,0,0,0
A57-A64,其他主要为性传播模式的感染,136,0,52,188,0,0,0,0
A68,回归热,2,0,0,2,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,22,0,4,26,0,0,0,0
A80,急性脊髓灰质炎,2,0,0,2,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,25,0,7,32,2,2,0,4
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,148,0,25,173,0,0,0,0
B00,疱疹病毒感染,367,0,81,448,0,0,0,0
B01-B02,水痘和带状疱疹,1842,19,223,2084,2,0,0,2
B05,麻疹,11,0,3,14,0,0,0,0
B06,风疹,3,0,0,3,0,0,0,0
B15,急性甲型肝炎,26,0,14,40,0,0,0,0
B16,急性乙型肝炎,226,0,35,261,32,10,0,42
B17,其他急性病毒性肝炎,77,0,41,118,5,0,0,5
B18,慢性病毒性肝炎,1017,0,30,1047,15,5,0,20
B19,未特指的病毒性肝炎,14,0,25,39,1,1,0,2
B20-B24,人类免疫缺陷病毒病,505,0,5,510,16,1,0,17
B26,流行性腮腺炎,2,0,4,6,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,10847,25,4598,15470,8,12,0,20
B35-B49,霉菌病,606,3,57,666,14,11,0,25
B50-B54,疟疾,27,0,1,28,0,0,0,0
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,5,0,0,5,0,0,0,0
B66,其他吸虫感染,3,0,0,3,0,0,0,0
B67,棘球蚴病,2,0,1,3,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,1,0,0,1,0,0,0,0
B76,钩虫病,1,0,0,1,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,29,0,5,34,0,0,0,0
B90,结核病后遗症,129,0,1,130,7,5,0,12
B91,脊髓灰质炎后遗症,5,0,0,5,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,229,3,30,262,10,3,0,13
C11,鼻咽恶性肿瘤,6519,0,713,7232,232,63,0,295
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2586,0,335,2921,167,73,0,240
C15,食管恶性肿瘤,2304,0,254,2558,250,61,0,311
C16,胃恶性肿瘤,5399,0,829,6228,414,273,0,687
C18,结肠恶性肿瘤,19030,0,2414,21444,859,719,0,1578
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,12380,0,1307,13687,450,286,0,736
C22,肝和肝内胆管恶性肿瘤,9572,0,1641,11213,1089,398,0,1487
C25,胰恶性肿瘤,4359,0,1054,5413,393,318,0,711
"C17, C23-C24, C26",消化器官其他恶性肿瘤,1833,0,273,2106,147,134,0,281
C32,喉恶性肿瘤,647,0,46,693,52,8,0,60
C33-C34,气管、支气管和肺恶性肿瘤,28726,1,3486,32213,2525,1328,0,3853
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,804,5,148,957,24,22,0,46
C40-C41,骨和软骨恶性肿瘤,475,0,91,566,12,9,0,21
C43,皮肤恶性黑色素瘤,295,0,85,380,22,23,0,45
C44,皮肤其他恶性肿瘤,896,0,197,1093,15,12,0,27
C45-C49,间皮组织和软组织恶性肿瘤,2622,0,353,2975,80,95,0,175
C50,乳房恶性肿瘤,37451,0,4341,41792,3,753,0,756
C53,宫颈恶性肿瘤,3617,0,448,4065,0,163,0,163
C54-C55,子宫其他和未特指部位的恶性肿瘤,3079,0,743,3822,1,182,0,183
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,5847,0,865,6712,0,270,0,270
C61,前列腺恶性肿瘤,5097,0,991,6088,468,0,0,468
"C60, C62-C63",男性生殖器官其他恶性肿瘤,438,0,116,554,7,0,0,7
C67,膀胱恶性肿瘤,4088,0,788,4876,144,55,0,199
"C64-C66, C68",泌尿道其他恶性肿瘤,1741,0,545,2286,180,73,0,253
C69,眼和附器恶性肿瘤,199,0,8,207,1,0,0,1
C71,脑恶性肿瘤,1256,0,240,1496,73,48,0,121
"C70, C72",中枢神经系统其他部位的恶性肿瘤,24,0,31,55,3,0,0,3
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,7878,0,2016,9894,400,350,0,750
C81,霍奇金[何杰金]淋巴瘤,1061,0,109,1170,8,6,0,14
C82-C85,非霍奇金淋巴瘤,11271,0,952,12223,223,152,0,375
C91-C95,白血病,14100,0,382,14482,210,139,0,349
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,10870,0,310,11180,74,55,0,129
D06,宫颈原位癌,297,1,268,566,0,0,0,0
D22-D23,皮肤良性肿瘤,1569,0,658,2227,0,0,0,0
D24,乳房良性肿瘤,152,0,1021,1173,0,0,0,0
D25,子宫平滑肌瘤,3773,0,3749,7522,0,0,0,0
D27,卵巢良性肿瘤,283,0,614,897,0,0,0,0
D30,泌尿器官良性肿瘤,5,0,84,89,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,153,0,171,324,1,0,0,1
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,26278,1,10362,36641,214,156,0,370
D50,缺铁性贫血,3827,4,290,4121,2,0,0,2
D51-D64,其他贫血,20260,12,955,21227,19,37,0,56
D65-D77,血液和造血器官的出血性情况及其他疾病,5742,0,346,6088,20,23,0,43
D80-D89,某些涉及免疫机制的疾患,1041,0,45,1086,4,1,0,5
E00-E02,碘缺乏相关性甲状腺疾患,0,0,3,3,0,0,0,0
E05,甲状腺毒症,2459,0,628,3087,3,8,0,11
"E03-E04, E06-E07",甲状腺其他疾患,4119,6,1599,5724,3,4,0,7
E10-E14,糖尿病,14557,290,516,15363,272,205,0,477
E40-E46,营养不良,23,0,10,33,3,1,0,4
E50,维生素A缺乏,0,0,0,0,0,0,0,0
E51-E56,其他维生素缺乏,249,0,4,253,1,1,0,2
E64,营养不良和其他营养缺乏的后遗症,0,0,0,0,0,0,0,0
E66,肥胖,1962,0,42,2004,1,1,0,2
E86,血容量缺失,1553,0,106,1659,2,8,0,10
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,24412,0,932,25344,40,35,0,75
F00-F03,认知障碍症,5123,92,52,5267,502,954,0,1456
F10,由于使用酒精引起的精神和行为障碍,1883,47,5,1935,2,0,0,2
F11-F19,使用其他精神活性物质引起的精神和行为障碍,2298,3632,6,5936,2,0,0,2
F20-F29,精神分裂症、分裂型障碍和妄想性障碍,9593,326,10,9929,1,0,0,1
F30-F39,心境[情感]障碍,4807,104,45,4956,0,0,0,0
F40-F48,神经症性、应激相关的以及躯体形式的障碍,4731,13,84,4828,0,1,0,1
F70-F79,精神发育迟滞,2218,0,0,2218,0,0,0,0
"F04-F09, F50-F69, F80-F99",其他精神和行为障碍,3753,446,85,4284,0,3,0,3
G00-G09,中枢神经系统炎性疾病,782,0,98,880,32,18,0,50
G20,帕金森病,1851,0,84,1935,63,44,0,107
G30,阿尔茨海默病,1168,0,12,1180,14,28,0,42
G35,多发性硬化,204,0,28,232,0,2,0,2
G40-G41,癫痫,4246,117,156,4519,16,12,0,28
G43-G44,偏头痛和其他头痛综合症,501,29,691,1221,0,0,0,0
G45,短暂性大脑缺血性发作和相关的综合症,2585,0,314,2899,0,0,0,0
G50-G59,神经、神经根和神经丛疾患,3057,1,1037,4095,0,0,0,0
G80-G83,大脑性麻痹[瘫痪]和其他麻痹[瘫痪]综合症,872,27,33,932,9,7,0,16
"G10-G14, G21-G26, G31-G32, G36-G37, G46-G47, G60-G73, G90-G99",神经系统其他疾患,14481,11,3501,17993,118,81,0,199
H00-H01,眼睑炎症,282,2,550,834,0,0,0,0
H10-H13,结膜炎和结膜的其他疾患,1546,22,109,1677,0,0,0,0
H15-H19,角膜炎以及巩膜和角膜的其他疾患,688,0,117,805,0,0,0,0
H25-H28,白内障和晶状体的其他疾患,25988,0,3006,28994,0,0,0,0
H33,视网膜脱离及断裂,1254,0,533,1787,0,0,0,0
H40-H42,青光眼,1401,0,171,1572,0,0,0,0
H49-H50,斜视,1165,1,325,1491,0,0,0,0
H52,屈光和调节疾患,33,0,4,37,0,0,0,0
H54,视力损害包括盲(双眼或单眼),40,1,15,56,0,0,0,0
"H02-H06, H20-H22, H30-H32, H34-H36, H43-H48, H51, H53, H55-H59",眼和附器其他疾病,9546,6,1660,11212,0,1,0,1
H65-H75,中耳炎以及中耳和乳突其他疾患,2188,0,915,3103,1,0,0,1
H90-H91,听觉丧失,2044,0,384,2428,0,0,0,0
"H60-H62, H80-H83, H92-H95",中耳和乳突其他疾患,2752,4,2383,5139,1,0,0,1
I00-I02,急性风湿热,28,1,1,30,0,0,0,0
I05-I09,慢性风湿性心脏病,1570,0,52,1622,23,43,0,66
I10,特发性(原发性)高血压,17747,114,1963,19824,31,28,0,59
I11,高血压性心脏病,274,18,27,319,357,333,0,690
I12,高血压性肾脏病,784,1,14,799,27,24,0,51
I13,高血压性心脏和肾脏病,515,0,3,518,4,5,0,9
I15,继发性高血压,585,212,10,807,0,0,0,0
I21-I22,急性心肌梗死,8589,0,291,8880,985,587,0,1572
"I20, I23-I25",其他缺血性心脏病,16484,1,8329,24814,1286,911,0,2197
I26,肺栓塞,650,0,85,735,23,36,0,59
I44-I49,传导疾患和心律失常,18130,1,1997,20128,109,129,0,238
I50,心力衰竭,20405,0,640,21045,329,563,0,892
"I27-I43, I51-I52",其他心脏病,5821,0,640,6461,216,149,0,365
I60-I62,颅内出血,7675,0,221,7896,759,540,0,1299
I63,脑梗死,10562,0,320,10882,59,42,0,101
I64,中风，未特指为出血或梗死,3195,1,463,3659,517,530,0,1047
I65-I69,其他脑血管病,3238,1,476,3715,278,291,0,569
I70,动脉粥样硬化症,502,0,25,527,0,2,0,2
I73,其他周围血管疾病,841,0,35,876,12,24,0,36
I74,动脉栓塞和血栓形成,273,0,12,285,3,3,0,6
I71,主动脉动脉瘤和动脉壁夹层形成,2138,0,66,2204,237,112,0,349
"I72, I77-I79",其他动脉、小动脉和毛细管的其他疾病,729,0,286,1015,19,12,0,31
I80-I82,静脉炎、血栓静脉炎、静脉栓塞和血栓形成,1459,0,204,1663,17,22,0,39
I83,下肢静脉曲张,3279,0,905,4184,1,1,0,2
I84,痔,9865,12,11276,21153,0,0,0,0
I85-I99,循环系统其他疾病,4815,1,685,5501,8,8,0,16
J02-J03,急性咽炎和急性扁桃体炎,2188,18,2488,4694,1,0,0,1
J04,急性喉炎和气管炎,55,0,78,133,1,0,0,1
"J00-J01, J05-J06",其他急性上呼吸道感染,16393,833,4669,21895,1,0,0,1
J09-J11,流行性感冒,11938,36,5433,17407,82,69,0,151
J12-J18,肺炎,52833,1,4319,57153,4597,3840,0,8437
J20-J21,急性支气管炎和急性细支气管炎,5857,8,4899,10764,5,2,0,7
J32,慢性鼻窦炎,378,0,814,1192,0,0,0,0
"J30-J31, J33-J34",鼻和鼻窦其他疾病,2175,43,2130,4348,0,0,0,0
J35,扁桃体和腺样体慢性疾病,693,0,611,1304,0,0,0,0
J36-J39,上呼吸道其他疾病,2552,35,1126,3713,4,1,0,5
J40-J44,支气管炎、肺气肿和其他慢性阻塞性肺病,25227,10,2069,27306,950,168,0,1118
J45-J46,哮喘,7220,262,460,7942,38,45,0,83
J47,支气管扩张症,2900,1,225,3126,85,93,0,178
J60-J65,尘肺,87,10,1,98,30,0,0,30
"J22, J66-J99",呼吸系统其他疾病,17156,25,3082,20263,416,297,0,713
K02,龋(齿),783,9,52,844,0,0,0,0
"K00-K01, K03-K08",牙齿及支持结构的其他疾患,3005,35,240,3280,0,1,0,1
K09-K14,口腔、涎腺和颌的其他疾病,2461,39,789,3289,1,0,0,1
K25-K27,胃和十二指肠溃疡,7340,2,4890,12232,60,33,0,93
K29,胃炎和十二指肠炎,12145,7,39359,51511,4,1,0,5
"K20-K23, K28, K30-K31",食管、胃和十二指肠其他疾病,8019,44,9177,17240,7,4,0,11
K35-K38,阑尾疾病,3008,2,1287,4297,6,6,0,12
K40,腹股沟疝,7554,29,2882,10465,8,1,0,9
K41-K46,其他疝,2180,1,529,2710,7,10,0,17
K50-K51,克罗恩[克隆]病和溃伤性结肠炎,2512,0,479,2991,1,2,0,3
K56,无力性肠梗阻和肠梗阻不伴有疝,3655,0,475,4130,81,83,0,164
K57,肠憩室性疾病,4646,0,1816,6462,6,4,0,10
"K52-K55, K58-K67",肠和腹膜其他疾病,42182,70,14147,56399,215,167,0,382
K70,酒精性肝病,620,0,7,627,51,2,0,53
K73-K74,慢性肝病及肝硬化,863,0,101,964,179,110,0,289
"K71-K72, K75-K76",其他肝病,5120,48,591,5759,88,48,0,136
K80-K81,胆石病和胆囊炎,11278,3,3570,14851,33,26,0,59
K85-K86,急性胰腺炎和胰腺其他疾病,2723,0,323,3046,27,58,0,85
"K82-K83, K87-K93",消化系统其他疾病,10165,19,699,10883,170,188,0,358
L00-L08,皮肤和皮下组织感染,20247,56,2778,23081,17,18,0,35
L10-L99,皮肤和皮下组织其他疾病,18685,106,3868,22659,75,70,0,145
M05-M14,类风湿性关节炎和其他炎性多关节病,10589,153,916,11658,14,14,0,28
M15-M19,关节病,8235,22,2272,10529,0,1,0,1
M20-M21,四肢后天性变形,1539,2,370,1911,0,0,0,0
"M00-M03, M22-M25",其他关节疾患,10633,13,1724,12370,14,6,0,20
M30-M36,全身性结缔组织疾患,4692,1,361,5054,20,42,0,62
M50-M51,颈和其他椎间盘疾患,677,0,2271,2948,0,0,0,0
"M40-M49, M53-M54",其他背部病,25161,41,4427,29629,7,4,0,11
M60-M79,软组织疾患,9296,2,3255,12553,26,23,0,49
M80-M85,骨密度和结构的疾患,1721,77,225,2023,2,6,0,8
M86,骨髓炎,615,0,34,649,14,14,0,28
M87-M99,肌肉骨骼系统和结缔组织其他疾病,1612,0,2601,4213,1,2,0,3
N00-N01,急性肾炎综合症和急进型肾炎综合症,30,0,15,45,0,0,0,0
N02-N08,其他肾小球疾病,1437,3,296,1736,33,38,0,71
N10-N16,肾小管间质疾病,5027,3,1272,6302,15,21,0,36
N17-N19,肾衰竭,161135,24,1420,162579,752,799,0,1551
N20-N23,尿石病,9592,2,5654,15248,1,6,0,7
N25-N27,其他肾脏疾病,229,0,10,239,0,0,0,0
N30,膀胱炎,1183,1,2048,3232,2,3,0,5
"N28-N29, N31-N39",泌尿系统其他疾病,27091,0,2861,29952,231,342,0,573
N40,前列腺增生,5754,0,1951,7705,6,0,0,6
N41-N42,前列腺其他疾患,353,0,424,777,1,0,0,1
N43,水囊肿[睪丸鞘膜积液]和精子囊肿,467,0,189,656,0,0,0,0
N47,包皮过长、包茎和包茎嵌顿,1585,0,353,1938,0,0,0,0
