OBJECTID,ObserverName,Date,RoostPlantSpp,Num_Monarchs,Site_Name,Key_ID,Nearby_Nectar,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Date_Converted,Date_Text,Local_Time,x,y
201,Sarah,10/5/2021 12:30,Celret,5,SPCG,SPCG10052021,,,30641696-6805-430c-a9eb-0ee3c28f56e8,10/5/2021 12:32,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9506312,29.47028028
202,Sarah,10/5/2021 12:34,Acafar,2,SPCG,SPCG10052021,,,15e345c8-09a2-4867-bd9a-e8893e4c2143,10/5/2021 12:35,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9504947,29.47012626
203,Sarah,10/5/2021 12:36,Acafar,2,SPCG,SPCG10052021,,,6896c88b-7f28-4ce4-a1dc-b14bdc2ca999,10/5/2021 12:36,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9504883,29.47007784
204,Sarah,10/5/2021 12:44,Fraspp,19,SPCG,SPCG10052021,,Mexican ash F. berlandieri,62324ee8-046b-49c6-b6f8-ee808df33af4,10/5/2021 12:47,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9505896,29.46991365
205,Sarah,10/5/2021 12:47,Acafar,2,SPCG,SPCG10052021,,,3c6b5ec6-a822-40ae-a9ad-fbab0e3a8e2d,10/5/2021 12:47,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9505037,29.46998772
206,Sarah,10/5/2021 12:48,Acafar,1,SPCG,SPCG10052021,,,dda52ad7-da94-498b-8475-34d0b76f7b8a,10/5/2021 12:48,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9505451,29.47002285
207,Sarah,10/6/2021 12:35,Fraspp,1,SPCG,SPCG10062021,,Mexican ash F. berlandieri,dd5211e2-8738-4a58-bc67-4ddb95668151,10/6/2021 12:35,SMHoward@nps.gov_nps,11/1/2021 14:23,SMHoward@nps.gov_nps,,,,-100.9504319,29.46976174
208,Sarah,10/6/2021 12:46,Acafar,3,SPCG,SPCG10062021,,,dc27db3a-6936-4706-9b8b-c5ffed277ac6,10/6/2021 12:47,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505604,29.47018299
209,Sarah,10/6/2021 12:47,Acafar,5,SPCG,SPCG10062021,,,0e1b80d6-d978-47a0-bd15-776020c95335,10/6/2021 12:47,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505379,29.47019335
210,Sarah,10/6/2021 12:50,Acafar,1,SPCG,SPCG10062021,,,96ecad98-f2b3-4ebb-bf89-5cc754041fa6,10/6/2021 12:50,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9504902,29.46994506
211,Sarah,10/6/2021 12:51,Fraspp,8,SPCG,SPCG10062021,,Mexican ash F. berlandieri,6dc031c1-c9c1-4247-8a87-363fc609867d,10/6/2021 12:51,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505202,29.46992016
212,Sarah,10/12/2021 12:22,Fraspp,55,SPCG,SPCG10122021,"Senna, white brush",Visitor here at arrival time at the day use picnic tables but they left by 0715. Mexican ash F. berlandieri,3945ff01-5994-4251-a135-c88d9e210658,10/12/2021 12:25,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505385,29.46990887
213,Sarah,10/12/2021 12:25,Acafar,1,SPCG,SPCG10122021,,,b2189049-38f1-4d88-a1d2-953dd1d3165b,10/12/2021 12:25,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505022,29.46994306
214,Sarah,10/12/2021 12:27,Acafar,46,SPCG,SPCG10122021,,,f28ed053-655e-4100-924e-09d5f8309a7b,10/12/2021 12:27,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9504595,29.46994475
215,Sarah,10/12/2021 12:37,Acafar,1,SPCG,SPCG10122021,"Cowpen daisy, whitebrush",,f21e1dae-91ac-4075-bd42-87a4f8f73bbf,10/12/2021 12:37,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9507419,29.47039303
216,Sarah,10/12/2021 12:39,Acafar,1,SPCG,SPCG10122021,,,4f82be0f-7fef-4f43-a109-884be1d8b0c3,10/12/2021 12:39,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9506192,29.47033298
217,Sarah,10/12/2021 12:43,Acafar,105,SPCG,SPCG10122021,,,353ab87c-3014-4baf-a563-82845afad2cf,10/12/2021 12:43,SMHoward@nps.gov_nps,11/1/2021 14:45,SMHoward@nps.gov_nps,,,,-100.95062,29.47020899
218,Sarah,10/12/2021 12:44,Acafar,30,SPCG,SPCG10122021,,,7f6b4467-b97f-4295-9d1a-a2d7b73bac1f,10/12/2021 12:44,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505349,29.47019572
219,Sarah,10/12/2021 12:48,Acafar,1,SPCG,SPCG10122021,,,e8c7ae4e-3652-4f99-9eb8-3ad5a2f7856a,10/12/2021 12:48,SMHoward@nps.gov_nps,11/1/2021 14:45,SMHoward@nps.gov_nps,,,,-100.9506051,29.47003346
220,Sarah,10/12/2021 12:49,Acafar,80,SPCG,SPCG10122021,,,987a4217-1e11-446b-8d77-27711fd5dc2f,10/12/2021 12:49,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.950555,29.47005236
221,Sarah,10/12/2021 12:49,Acafar,25,SPCG,SPCG10122021,,,ee0fdbfb-f82a-4db8-831f-6a34dc88db98,10/12/2021 12:49,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505573,29.47004912
222,Sarah,10/12/2021 12:50,Acafar,40,SPCG,SPCG10122021,,,03148111-8d5e-4ff4-ba0c-f1679baeac7c,10/12/2021 12:50,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505107,29.47002602
223,Sarah,10/14/2021 12:27,Fraspp,80,SPCG,SPCG10142021,Senna,Mexican ash F. berlandieri,c677feb2-2a07-43c8-82e4-f875b3194df9,10/14/2021 12:27,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505376,29.46990255
224,Sarah,10/14/2021 12:36,Acafar,4,SPCG,SPCG10142021,,,ed75f48c-d40c-4977-82f6-693778568f6c,10/14/2021 12:36,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9506666,29.47031651
225,Sarah,10/14/2021 12:38,Celret,1,SPCG,SPCG10142021,,,baa50a6e-f4f1-4aa5-b1ae-1d088c506d35,10/14/2021 12:38,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9505945,29.47023265
226,Sarah,10/14/2021 12:38,Acafar,5,SPCG,SPCG10142021,,,4d36591c-4db9-4e19-87da-64882c860054,10/14/2021 12:38,SMHoward@nps.gov_nps,11/1/2021 14:24,SMHoward@nps.gov_nps,,,,-100.9506104,29.47020162
